model,example,source_setup,p,n0,N,T,replicate,selected_sources,num_selected_sources
linear,exm1,exm1_6source_shift,5,250,5000,500,1,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,2,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,3,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,4,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,5,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,6,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,7,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,8,"m1s1,m2s2,m3s3",3
linear,exm1,exm1_6source_shift,5,250,5000,500,9,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,10,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,11,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,12,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,13,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,14,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,15,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,16,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,17,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,18,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,19,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,20,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,21,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,22,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,23,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,24,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,25,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,26,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,27,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,28,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,29,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,30,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,31,m1s1,1
